From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A384MTS1	A0A384MTS1	unreviewed	A0A384MTS1_HUMAN	peptidylprolyl isomerase (EC 5.2.1.8)	PPWD1 hCG_17862	Homo sapiens (Human)	646
Q96EQ0	Q96EQ0	reviewed	SGTB_HUMAN	Small glutamine-rich tetratricopeptide repeat-containing protein beta (Beta-SGT) (Small glutamine-rich protein with tetratricopeptide repeats 2)	SGTB SGT2	Homo sapiens (Human)	304
D6RFW1	D6RFW1	unreviewed	D6RFW1_HUMAN	Small glutamine rich tetratricopeptide repeat co-chaperone beta	SGTB	Homo sapiens (Human)	195
Q96RT1	Q96RT1	reviewed	ERBIN_HUMAN	Erbin (Densin-180-like protein) (Erbb2-interacting protein) (Protein LAP2)	ERBIN ERBB2IP KIAA1225 LAP2	Homo sapiens (Human)	1412
Q99467	Q99467	reviewed	CD180_HUMAN	CD180 antigen (Lymphocyte antigen 64) (Radioprotective 105 kDa protein) (CD antigen CD180)	CD180 LY64 RP105	Homo sapiens (Human)	661
Q13075	Q13075	reviewed	BIRC1_HUMAN	Baculoviral IAP repeat-containing protein 1 (Neuronal apoptosis inhibitory protein)	NAIP BIRC1	Homo sapiens (Human)	1403
A6H8Y1	A6H8Y1	reviewed	BDP1_HUMAN	Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator)	BDP1 KIAA1241 KIAA1689 TFNR	Homo sapiens (Human)	2624
P46821	P46821	reviewed	MAP1B_HUMAN	Microtubule-associated protein 1B (MAP-1B) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]	MAP1B	Homo sapiens (Human)	2468
Q92552	Q92552	reviewed	RT27_HUMAN	Small ribosomal subunit protein mS27 (28S ribosomal protein S27, mitochondrial) (MRP-S27) (S27mt) (Mitochondrial ribosomal protein S27)	MRPS27 KIAA0264	Homo sapiens (Human)	414
A0A8Q3SHR4	A0A8Q3SHR4	unreviewed	A0A8Q3SHR4_HUMAN	Mitochondrial ribosomal protein S27	MRPS27	Homo sapiens (Human)	388
B3KPU6	B3KPU6	unreviewed	B3KPU6_HUMAN	Pentatricopeptide repeat-containing protein 2, mitochondrial		Homo sapiens (Human)	236
Q8WV60	Q8WV60	reviewed	PTCD2_HUMAN	Pentatricopeptide repeat-containing protein 2, mitochondrial	PTCD2	Homo sapiens (Human)	388
Q92973	Q92973	reviewed	TNPO1_HUMAN	Transportin-1 (Importin beta-2) (Karyopherin beta-2) (M9 region interaction protein) (MIP)	TNPO1 KPNB2 MIP1 TRN	Homo sapiens (Human)	898
Q9H9E1	Q9H9E1	reviewed	ANRA2_HUMAN	Ankyrin repeat family A protein 2 (RFXANK-like protein 2)	ANKRA2 ANKRA	Homo sapiens (Human)	313
D6RBK8	D6RBK8	unreviewed	D6RBK8_HUMAN	Ankyrin repeat family A member 2	ANKRA2	Homo sapiens (Human)	177
Q8TED0	Q8TED0	reviewed	UTP15_HUMAN	U3 small nucleolar RNA-associated protein 15 homolog	UTP15	Homo sapiens (Human)	518
H0Y8P4	H0Y8P4	unreviewed	H0Y8P4_HUMAN	U3 small nucleolar RNA-associated protein 15 homolog	UTP15	Homo sapiens (Human)	545
O14682	O14682	reviewed	ENC1_HUMAN	Ectoderm-neural cortex protein 1 (ENC-1) (Kelch-like protein 37) (Nuclear matrix protein NRP/B) (p53-induced gene 10 protein)	ENC1 KLHL37 NRPB PIG10	Homo sapiens (Human)	589
D6RJB7	D6RJB7	unreviewed	D6RJB7_HUMAN	Ankyrin repeat domain 31	ANKRD31	Homo sapiens (Human)	1930
Q8N7Z5	Q8N7Z5	reviewed	ANR31_HUMAN	Ankyrin repeat domain-containing protein 31	ANKRD31	Homo sapiens (Human)	1873
A6NHY2	A6NHY2	reviewed	AKD1B_HUMAN	Ankyrin repeat and death domain-containing protein 1B	ANKDD1B	Homo sapiens (Human)	528
A0A5F9ZHN1	A0A5F9ZHN1	unreviewed	A0A5F9ZHN1_HUMAN	Ankyrin repeat and death domain containing 1B	ANKDD1B	Homo sapiens (Human)	441
A0A5F9ZHD3	A0A5F9ZHD3	unreviewed	A0A5F9ZHD3_HUMAN	Ankyrin repeat and death domain containing 1B	ANKDD1B	Homo sapiens (Human)	281
Q8NA72	Q8NA72	reviewed	POC5_HUMAN	Centrosomal protein POC5 (Protein of centriole 5) (hPOC5)	POC5 C5orf37	Homo sapiens (Human)	575
Q9HAD4	Q9HAD4	reviewed	WDR41_HUMAN	WD repeat-containing protein 41	WDR41 MSTP048	Homo sapiens (Human)	459
A0A0S2Z5D8	A0A0S2Z5D8	unreviewed	A0A0S2Z5D8_HUMAN	WD repeat domain 41 isoform 2	WDR41	Homo sapiens (Human)	464
P35443	P35443	reviewed	TSP4_HUMAN	Thrombospondin-4	THBS4 TSP4	Homo sapiens (Human)	961
B7Z832	B7Z832	unreviewed	B7Z832_HUMAN	cDNA FLJ51409, highly similar to Thrombospondin-4		Homo sapiens (Human)	870
A5PLL1	A5PLL1	reviewed	AN34B_HUMAN	Ankyrin repeat domain-containing protein 34B	ANKRD34B	Homo sapiens (Human)	514
Q8WXG9	Q8WXG9	reviewed	AGRV1_HUMAN	Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta]	ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1	Homo sapiens (Human)	6306
B4DR33	B4DR33	unreviewed	B4DR33_HUMAN	cDNA FLJ57334, highly similar to Ankyrin repeat domain-containing protein 32		Homo sapiens (Human)	1058
Q9BQI6	Q9BQI6	reviewed	SLF1_HUMAN	SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1)	SLF1 ANKRD32 BRCTD1	Homo sapiens (Human)	1058
Q6PGP7	Q6PGP7	reviewed	SKI3_HUMAN	Superkiller complex protein 3 (Ski3) (Tetratricopeptide repeat protein 37) (TPR repeat protein 37) (Tricho-hepatic-enteric syndrome protein) (Thespin)	SKIC3 KIAA0372 TTC37	Homo sapiens (Human)	1564
A0A8V8TLS3	A0A8V8TLS3	unreviewed	A0A8V8TLS3_HUMAN	SKI3 subunit of superkiller complex	SKIC3	Homo sapiens (Human)	1561
A0A8V8TNJ4	A0A8V8TNJ4	unreviewed	A0A8V8TNJ4_HUMAN	SKI3 subunit of superkiller complex	SKIC3	Homo sapiens (Human)	1494
A0A8V8TLR0	A0A8V8TLR0	unreviewed	A0A8V8TLR0_HUMAN	SKI3 subunit of superkiller complex	SKIC3	Homo sapiens (Human)	846
P20810	P20810	reviewed	ICAL_HUMAN	Calpastatin (Calpain inhibitor) (Sperm BS-17 component)	CAST	Homo sapiens (Human)	708
O14646	O14646	reviewed	CHD1_HUMAN	Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1)	CHD1	Homo sapiens (Human)	1710
P19021	P19021	reviewed	AMD_HUMAN	Peptidyl-glycine alpha-amidating monooxygenase (PAM) [Includes: Peptidylglycine alpha-hydroxylating monooxygenase (PHM) (EC 1.14.17.3); Peptidyl-alpha-hydroxyglycine alpha-amidating lyase (EC 4.3.2.5) (Peptidylamidoglycolate lyase) (PAL)]	PAM	Homo sapiens (Human)	973
A0A804HI59	A0A804HI59	unreviewed	A0A804HI59_HUMAN	Peptidylglycine alpha-amidating monooxygenase	PAM	Homo sapiens (Human)	897
A0A804HJJ2	A0A804HJJ2	unreviewed	A0A804HJJ2_HUMAN	Peptidylglycine alpha-amidating monooxygenase	PAM	Homo sapiens (Human)	150
Q9BQG2	Q9BQG2	reviewed	NUD12_HUMAN	NAD-capped RNA hydrolase NUDT12 (DeNADding enzyme NUDT12) (EC 3.6.1.-) (NADH pyrophosphatase NUDT12) (EC 3.6.1.22) (Nucleoside diphosphate-linked moiety X motif 12) (Nudix motif 12)	NUDT12	Homo sapiens (Human)	462
Q96AG3	Q96AG3	reviewed	S2546_HUMAN	Mitochondrial outer membrane protein SLC25A46 (Solute carrier family 25 member 46)	SLC25A46 TB1	Homo sapiens (Human)	418
B4DY98	B4DY98	unreviewed	B4DY98_HUMAN	cDNA FLJ56268		Homo sapiens (Human)	327
Q8NI36	Q8NI36	reviewed	WDR36_HUMAN	WD repeat-containing protein 36 (T-cell activation WD repeat-containing protein) (TA-WDRP)	WDR36	Homo sapiens (Human)	951
A0A0A0MTB8	A0A0A0MTB8	unreviewed	A0A0A0MTB8_HUMAN	WD repeat domain 36	WDR36	Homo sapiens (Human)	895
P25054	P25054	reviewed	APC_HUMAN	Adenomatous polyposis coli protein (Protein APC) (Deleted in polyposis 2.5)	APC DP2.5	Homo sapiens (Human)	2843
A0A224ANK2	A0A224ANK2	unreviewed	A0A224ANK2_HUMAN	Adenomatous polyposis coli protein isoform b	APC	Homo sapiens (Human)	2843
Q9H6S0	Q9H6S0	reviewed	YTDC2_HUMAN	3'-5' RNA helicase YTHDC2 (EC 3.6.4.13) (YTH domain-containing protein 2) (hYTHDC2)	YTHDC2	Homo sapiens (Human)	1430
D6RA70	D6RA70	unreviewed	D6RA70_HUMAN	RNA helicase (EC 3.6.4.13)	YTHDC2	Homo sapiens (Human)	739
P53609	P53609	reviewed	PGTB1_HUMAN	Geranylgeranyl transferase type-1 subunit beta (EC 2.5.1.59) (Geranylgeranyl transferase type I subunit beta) (GGTase-I-beta) (Type I protein geranyl-geranyltransferase subunit beta)	PGGT1B	Homo sapiens (Human)	377
Q96JP0	Q96JP0	reviewed	FEM1C_HUMAN	Protein fem-1 homolog C (FEM1c) (FEM1-gamma)	FEM1C KIAA1785	Homo sapiens (Human)	617
Q9Y485	Q9Y485	reviewed	DMXL1_HUMAN	DmX-like protein 1 (X-like 1 protein)	DMXL1 XL1	Homo sapiens (Human)	3027
B2RWN7	B2RWN7	unreviewed	B2RWN7_HUMAN	DMXL1 protein	DMXL1	Homo sapiens (Human)	3048
Q9Y6H5	Q9Y6H5	reviewed	SNCAP_HUMAN	Synphilin-1 (Sph1) (Alpha-synuclein-interacting protein)	SNCAIP	Homo sapiens (Human)	919
B7Z5F8	B7Z5F8	unreviewed	B7Z5F8_HUMAN	cDNA FLJ56226, highly similar to Synphilin-1		Homo sapiens (Human)	381
O15460	O15460	reviewed	P4HA2_HUMAN	Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)	P4HA2 UNQ290/PRO330	Homo sapiens (Human)	535
Q2M3V2	Q2M3V2	reviewed	SWAHA_HUMAN	Ankyrin repeat domain-containing protein SOWAHA (Ankyrin repeat domain-containing protein 43) (Protein sosondowah homolog A)	SOWAHA ANKRD43	Homo sapiens (Human)	549
O95486	O95486	reviewed	SC24A_HUMAN	Protein transport protein Sec24A (SEC24-related protein A)	SEC24A	Homo sapiens (Human)	1093
Q6ZT89	Q6ZT89	reviewed	S2548_HUMAN	Solute carrier family 25 member 48	SLC25A48	Homo sapiens (Human)	311
A0A3B3IRS1	A0A3B3IRS1	unreviewed	A0A3B3IRS1_HUMAN	Solute carrier family 25 member 48	SLC25A48	Homo sapiens (Human)	361
J3KQI1	J3KQI1	unreviewed	J3KQI1_HUMAN	Solute carrier family 25 member 48	SLC25A48	Homo sapiens (Human)	257
Q9UKT6	Q9UKT6	reviewed	FXL21_HUMAN	Putative F-box/LRR-repeat protein 21 (F-box and leucine-rich repeat protein 21) (F-box and leucine-rich repeat protein 3B) (F-box/LRR-repeat protein 3B)	FBXL21P FBL21 FBL3 FBXL21 FBXL3B FBXL3P	Homo sapiens (Human)	434
Q9HCX4	Q9HCX4	reviewed	TRPC7_HUMAN	Short transient receptor potential channel 7 (TrpC7) (Transient receptor protein 7) (TRP-7) (hTRP7)	TRPC7 TRP7	Homo sapiens (Human)	862
Q9UH77	Q9UH77	reviewed	KLHL3_HUMAN	Kelch-like protein 3	KLHL3 KIAA1129	Homo sapiens (Human)	587
Q9UJX2	Q9UJX2	reviewed	CDC23_HUMAN	Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8)	CDC23 ANAPC8	Homo sapiens (Human)	597
O43300	O43300	reviewed	LRRT2_HUMAN	Leucine-rich repeat transmembrane neuronal protein 2 (Leucine-rich repeat neuronal 2 protein)	LRRTM2 KIAA0416 LRRN2	Homo sapiens (Human)	516
Q00577	Q00577	reviewed	PURA_HUMAN	Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha)	PURA PUR1	Homo sapiens (Human)	322
Q8IWZ3	Q8IWZ3	reviewed	ANKH1_HUMAN	Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK)	ANKHD1 KIAA1085 MASK VBARP PP2500	Homo sapiens (Human)	2542
D6RHC4	D6RHC4	unreviewed	D6RHC4_HUMAN	Ankyrin repeat and KH domain containing 1	ANKHD1	Homo sapiens (Human)	368
E9PDP5	E9PDP5	unreviewed	E9PDP5_HUMAN	Ankyrin repeat and KH domain containing 1	ANKHD1	Homo sapiens (Human)	1565
Q9NXF0	Q9NXF0	unreviewed	Q9NXF0_HUMAN	cDNA FLJ20288 fis, clone HEP04414		Homo sapiens (Human)	686
P08571	P08571	reviewed	CD14_HUMAN	Monocyte differentiation antigen CD14 (My23 antigen) (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]	CD14	Homo sapiens (Human)	375
Q13123	Q13123	reviewed	RED_HUMAN	Protein Red (Cytokine IK) (IK factor) (Protein RER)	IK RED RER	Homo sapiens (Human)	557
Q9H6Y2	Q9H6Y2	reviewed	WDR55_HUMAN	WD repeat-containing protein 55	WDR55	Homo sapiens (Human)	383
G3V1J0	G3V1J0	unreviewed	G3V1J0_HUMAN	WD repeat domain 55	WDR55 hCG_1782892	Homo sapiens (Human)	222
Q9Y5I3	Q9Y5I3	reviewed	PCDA1_HUMAN	Protocadherin alpha-1 (PCDH-alpha-1)	PCDHA1	Homo sapiens (Human)	950
Q9Y5H9	Q9Y5H9	reviewed	PCDA2_HUMAN	Protocadherin alpha-2 (PCDH-alpha-2)	PCDHA2	Homo sapiens (Human)	948
Q9Y5H8	Q9Y5H8	reviewed	PCDA3_HUMAN	Protocadherin alpha-3 (PCDH-alpha-3)	PCDHA3	Homo sapiens (Human)	950
Q9UN74	Q9UN74	reviewed	PCDA4_HUMAN	Protocadherin alpha-4 (PCDH-alpha-4)	PCDHA4	Homo sapiens (Human)	947
Q9Y5H7	Q9Y5H7	reviewed	PCDA5_HUMAN	Protocadherin alpha-5 (PCDH-alpha-5)	PCDHA5 CNRS6	Homo sapiens (Human)	936
Q9UN72	Q9UN72	reviewed	PCDA7_HUMAN	Protocadherin alpha-7 (PCDH-alpha-7)	PCDHA7 CNRS4	Homo sapiens (Human)	937
Q9Y5H6	Q9Y5H6	reviewed	PCDA8_HUMAN	Protocadherin alpha-8 (PCDH-alpha-8)	PCDHA8	Homo sapiens (Human)	950
Q9Y5H5	Q9Y5H5	reviewed	PCDA9_HUMAN	Protocadherin alpha-9 (PCDH-alpha-9)	PCDHA9 KIAA0345	Homo sapiens (Human)	950
Q9Y5I2	Q9Y5I2	reviewed	PCDAA_HUMAN	Protocadherin alpha-10 (PCDH-alpha-10)	PCDHA10 CNRS8	Homo sapiens (Human)	948
Q9Y5I1	Q9Y5I1	reviewed	PCDAB_HUMAN	Protocadherin alpha-11 (PCDH-alpha-11)	PCDHA11 CNRS7	Homo sapiens (Human)	949
Q9UN75	Q9UN75	reviewed	PCDAC_HUMAN	Protocadherin alpha-12 (PCDH-alpha-12)	PCDHA12	Homo sapiens (Human)	941
Q9Y5I0	Q9Y5I0	reviewed	PCDAD_HUMAN	Protocadherin alpha-13 (PCDH-alpha-13)	PCDHA13 CNRS5	Homo sapiens (Human)	950
Q9H158	Q9H158	reviewed	PCDC1_HUMAN	Protocadherin alpha-C1 (PCDH-alpha-C1)	PCDHAC1	Homo sapiens (Human)	963
Q9BXI2	Q9BXI2	reviewed	ORNT2_HUMAN	Mitochondrial ornithine transporter 2 (Solute carrier family 25 member 2)	SLC25A2 ORC2 ORNT2	Homo sapiens (Human)	301
Q14154	Q14154	reviewed	DELE1_HUMAN	DAP3-binding cell death enhancer 1 (DAP3-binding cell death enhancer 1, long form) (DELE1(L)) (Death ligand signal enhancer) [Cleaved into: DAP3-binding cell death enhancer 1 short form (DELE1(S)) (S-DELE1) (cDELE1)]	DELE1 DELE KIAA0141	Homo sapiens (Human)	515
Q00005	Q00005	reviewed	2ABB_HUMAN	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform (PP2A subunit B isoform B55-beta) (PP2A subunit B isoform PR55-beta) (PP2A subunit B isoform R2-beta) (PP2A subunit B isoform beta)	PPP2R2B	Homo sapiens (Human)	443
Q8TF17	Q8TF17	reviewed	S3TC2_HUMAN	SH3 domain and tetratricopeptide repeat-containing protein 2	SH3TC2 KIAA1985 PP12494	Homo sapiens (Human)	1288
P08133	P08133	reviewed	ANXA6_HUMAN	Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)	ANXA6 ANX6	Homo sapiens (Human)	673
Q8TEQ6	Q8TEQ6	reviewed	GEMI5_HUMAN	Gem-associated protein 5 (Gemin5)	GEMIN5	Homo sapiens (Human)	1508
B7ZLC9	B7ZLC9	unreviewed	B7ZLC9_HUMAN	GEMIN5 protein	GEMIN5	Homo sapiens (Human)	1507
Q96D42	Q96D42	reviewed	HAVR1_HUMAN	Hepatitis A virus cellular receptor 1 (HAVcr-1) (Kidney injury molecule 1) (KIM-1) (T-cell immunoglobulin and mucin domain-containing protein 1) (TIMD-1) (T-cell immunoglobulin mucin receptor 1) (TIM) (TIM-1) (T-cell membrane protein 1) (CD antigen CD365)	HAVCR1 KIM1 TIM1 TIMD1	Homo sapiens (Human)	364
Q99614	Q99614	reviewed	TTC1_HUMAN	Tetratricopeptide repeat protein 1 (TPR repeat protein 1)	TTC1 TPR1	Homo sapiens (Human)	292
A0A804HHT7	A0A804HHT7	unreviewed	A0A804HHT7_HUMAN	Tetratricopeptide repeat domain 1	TTC1	Homo sapiens (Human)	183
A0A804HIB8	A0A804HIB8	unreviewed	A0A804HIB8_HUMAN	Tetratricopeptide repeat domain 1	TTC1	Homo sapiens (Human)	189
Q9NT68	Q9NT68	reviewed	TEN2_HUMAN	Teneurin-2 (Ten-2) (Protein Odd Oz/ten-m homolog 2) (Tenascin-M2) (Ten-m2) (Teneurin transmembrane protein 2) [Cleaved into: Ten-2, soluble form; Ten-2 intracellular domain (Ten-2 ICD)]	TENM2 KIAA1127 ODZ2 TNM2	Homo sapiens (Human)	2774
O75094	O75094	reviewed	SLIT3_HUMAN	Slit homolog 3 protein (Slit-3) (Multiple epidermal growth factor-like domains protein 5) (Multiple EGF-like domains protein 5)	SLIT3 KIAA0814 MEGF5 SLIL2 UNQ691/PRO1336	Homo sapiens (Human)	1523
Q9UKB1	Q9UKB1	reviewed	FBW1B_HUMAN	F-box/WD repeat-containing protein 11 (F-box and WD repeats protein beta-TrCP2) (F-box/WD repeat-containing protein 1B) (Homologous to Slimb protein) (HOS)	FBXW11 BTRCP2 FBW1B FBXW1B KIAA0696	Homo sapiens (Human)	542
B4DH70	B4DH70	unreviewed	B4DH70_HUMAN	cDNA FLJ54601, highly similar to F-box/WD repeat protein 11		Homo sapiens (Human)	510
Q96J01	Q96J01	reviewed	THOC3_HUMAN	THO complex subunit 3 (Tho3) (TEX1 homolog) (hTREX45)	THOC3	Homo sapiens (Human)	351
D6REC9	D6REC9	unreviewed	D6REC9_HUMAN	THO complex subunit 3	THOC3	Homo sapiens (Human)	166
D6RGZ2	D6RGZ2	unreviewed	D6RGZ2_HUMAN	THO complex subunit 3	THOC3	Homo sapiens (Human)	105
Q16143	Q16143	reviewed	SYUB_HUMAN	Beta-synuclein	SNCB	Homo sapiens (Human)	134
P31943	P31943	reviewed	HNRH1_HUMAN	Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]	HNRNPH1 HNRPH HNRPH1	Homo sapiens (Human)	449
P27824	P27824	reviewed	CALX_HUMAN	Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)	CANX	Homo sapiens (Human)	592
Q9ULM6	Q9ULM6	reviewed	CNOT6_HUMAN	CCR4-NOT transcription complex subunit 6 (EC 3.1.13.4) (CCR4 carbon catabolite repression 4-like) (Carbon catabolite repressor protein 4 homolog) (Cytoplasmic deadenylase)	CNOT6 CCR4 CCR4a KIAA1194	Homo sapiens (Human)	557
D6RAC2	D6RAC2	unreviewed	D6RAC2_HUMAN	Small ribosomal subunit protein RACK1	RACK1	Homo sapiens (Human)	269
P63244	P63244	reviewed	RACK1_HUMAN	Small ribosomal subunit protein RACK1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Receptor of activated protein C kinase 1) [Cleaved into: Small ribosomal subunit protein RACK1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed) (Receptor of activated protein C kinase 1, N-terminally processed)]	RACK1 GNB2L1 HLC7 PIG21	Homo sapiens (Human)	317
D6R9L0	D6R9L0	unreviewed	D6R9L0_HUMAN	Small ribosomal subunit protein RACK1	RACK1	Homo sapiens (Human)	300
D6RHH4	D6RHH4	unreviewed	D6RHH4_HUMAN	Small ribosomal subunit protein RACK1	RACK1	Homo sapiens (Human)	233
B4DVD2	B4DVD2	unreviewed	B4DVD2_HUMAN	Small ribosomal subunit protein RACK1		Homo sapiens (Human)	221
D6RBD0	D6RBD0	unreviewed	D6RBD0_HUMAN	Small ribosomal subunit protein RACK1	RACK1	Homo sapiens (Human)	160
B4DWC6	B4DWC6	unreviewed	B4DWC6_HUMAN	Small ribosomal subunit protein RACK1		Homo sapiens (Human)	160
J3KPE3	J3KPE3	unreviewed	J3KPE3_HUMAN	Small ribosomal subunit protein RACK1	RACK1	Homo sapiens (Human)	273
H0Y8W2	H0Y8W2	unreviewed	H0Y8W2_HUMAN	Small ribosomal subunit protein RACK1	RACK1	Homo sapiens (Human)	274
H0YAF8	H0YAF8	unreviewed	H0YAF8_HUMAN	Small ribosomal subunit protein RACK1	RACK1	Homo sapiens (Human)	198
D6R909	D6R909	unreviewed	D6R909_HUMAN	Small ribosomal subunit protein RACK1	RACK1	Homo sapiens (Human)	116
I3QNU9	I3QNU9	unreviewed	I3QNU9_HUMAN	Small ribosomal subunit protein RACK1	GNB2L1	Homo sapiens (Human)	126
P15924	P15924	reviewed	DESP_HUMAN	Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen)	DSP	Homo sapiens (Human)	2871
Q9NWT1	Q9NWT1	reviewed	PK1IP_HUMAN	p21-activated protein kinase-interacting protein 1 (PAK/PLC-interacting protein 1) (hPIP1) (PAK1-interacting protein 1) (WD repeat-containing protein 84)	PAK1IP1 PIP1 WDR84	Homo sapiens (Human)	392
A0A0S2Z5C3	A0A0S2Z5C3	unreviewed	A0A0S2Z5C3_HUMAN	PAK1 interacting protein 1 isoform 1	PAK1IP1	Homo sapiens (Human)	392
Q9C0D0	Q9C0D0	reviewed	PHAR1_HUMAN	Phosphatase and actin regulator 1	PHACTR1 KIAA1733 RPEL1	Homo sapiens (Human)	580
A0A6Q8PFA8	A0A6Q8PFA8	unreviewed	A0A6Q8PFA8_HUMAN	Phosphatase and actin regulator	PHACTR1	Homo sapiens (Human)	488
Q4VY12	Q4VY12	unreviewed	Q4VY12_HUMAN	Phosphatase and actin regulator	PHACTR1 hCG_1818446	Homo sapiens (Human)	144
P49790	P49790	reviewed	NU153_HUMAN	Nuclear pore complex protein Nup153 (153 kDa nucleoporin) (Nucleoporin Nup153)	NUP153	Homo sapiens (Human)	1475
Q6VVB1	Q6VVB1	reviewed	NHLC1_HUMAN	E3 ubiquitin-protein ligase NHLRC1 (EC 2.3.2.27) (Malin) (NHL repeat-containing protein 1) (RING-type E3 ubiquitin transferase NHLRC1)	NHLRC1 EPM2B	Homo sapiens (Human)	395
P80108	P80108	reviewed	PHLD_HUMAN	Phosphatidylinositol-glycan-specific phospholipase D (PI-G PLD) (EC 3.1.4.50) (Glycoprotein phospholipase D) (Glycosyl-phosphatidylinositol-specific phospholipase D) (GPI-PLD) (GPI-specific phospholipase D)	GPLD1 PIGPLD1	Homo sapiens (Human)	840
Q5VZK9	Q5VZK9	reviewed	CARL1_HUMAN	F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (Leucine-rich repeat-containing protein 16A)	CARMIL1 CARMIL LRRC16 LRRC16A	Homo sapiens (Human)	1371
Q5SSG8	Q5SSG8	reviewed	MUC21_HUMAN	Mucin-21 (MUC-21) (Epiglycanin)	MUC21 C6orf205 UNQ697/PRO1342	Homo sapiens (Human)	566
Q9UBC1	Q9UBC1	reviewed	IKBL1_HUMAN	NF-kappa-B inhibitor-like protein 1 (Inhibitor of kappa B-like protein) (I-kappa-B-like protein) (IkappaBL) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1)	NFKBIL1 IKBL	Homo sapiens (Human)	381
P48634	P48634	reviewed	PRC2A_HUMAN	Protein PRRC2A (HLA-B-associated transcript 2) (Large proline-rich protein BAT2) (Proline-rich and coiled-coil-containing protein 2A) (Protein G2)	PRRC2A BAT2 G2	Homo sapiens (Human)	2157
P46379	P46379	reviewed	BAG6_HUMAN	Large proline-rich protein BAG6 (BAG family molecular chaperone regulator 6) (BCL2-associated athanogene 6) (BAG-6) (HLA-B-associated transcript 3) (Protein G3) (Protein Scythe)	BAG6 BAT3 G3	Homo sapiens (Human)	1132
O95872	O95872	reviewed	GPAN1_HUMAN	G patch domain and ankyrin repeat-containing protein 1 (Ankyrin repeat domain-containing protein 59) (G patch domain-containing protein 10) (HLA-B-associated transcript 4) (Protein G5)	GPANK1 ANKRD59 BAT4 G5 GPATCH10	Homo sapiens (Human)	356
Q99519	Q99519	reviewed	NEUR1_HUMAN	Sialidase-1 (EC 3.2.1.18) (Acetylneuraminyl hydrolase) (G9 sialidase) (Lysosomal sialidase) (N-acetyl-alpha-neuraminidase 1)	NEU1 NANH	Homo sapiens (Human)	415
A0A024RCN9	A0A024RCN9	unreviewed	A0A024RCN9_HUMAN	EHMT2		Homo sapiens (Human)	1210
Q96KQ7	Q96KQ7	reviewed	EHMT2_HUMAN	Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (EC 2.1.1.367) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Lysine N-methyltransferase 1C) (Protein G9a)	EHMT2 BAT8 C6orf30 G9A KMT1C NG36	Homo sapiens (Human)	1210
P18615	P18615	reviewed	NELFE_HUMAN	Negative elongation factor E (NELF-E) (RNA-binding protein RD)	NELFE RD RDBP	Homo sapiens (Human)	380
